Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,17204794,1,17204794.0,17204794.0,17204794,17204794,0.0,PushPop,":batch=aafe4d7f43254f9fa9100586897e7b7c phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,16628994,1,16628994.0,16628994.0,16628994,16628994,0.0,PushPop,:batch=5cad93b6afde4580886d463d298d1c39 phase=decode requests=da9f257481364027b9eb07c5291bb1d2
0.0,16459369,1,16459369.0,16459369.0,16459369,16459369,0.0,PushPop,":batch=0451f6bf305441ff988fc9ffc6ffb6ce phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,16458361,1,16458361.0,16458361.0,16458361,16458361,0.0,PushPop,":batch=8291955deda74ddd86f79f6b5266f7cf phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,16359753,1,16359753.0,16359753.0,16359753,16359753,0.0,PushPop,":batch=027436693fa44ba0b4a2e1eb397fd659 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,16341601,1,16341601.0,16341601.0,16341601,16341601,0.0,PushPop,":batch=31405b01a0194c2689d04b3c90ff19cf phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,16006974,1,16006974.0,16006974.0,16006974,16006974,0.0,PushPop,":batch=fdc29af7fa564bde9b2a9fc6dfd65927 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,16002324,1,16002324.0,16002324.0,16002324,16002324,0.0,PushPop,":batch=51b400f76ef048b6b18e7a17724573f9 phase=decode requests=06908cb4b9a54cb3913b92340a96329a,f8dd7e2b7db74466b3dd25169f9b9af0,6aaa53a6b6a24c078350a21ac7f27af1,248bd58545de491d8813e6a095003668"
0.0,15974146,1,15974146.0,15974146.0,15974146,15974146,0.0,PushPop,":batch=70324029f596481d969e4069003e4624 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,15897658,1,15897658.0,15897658.0,15897658,15897658,0.0,PushPop,":batch=b2ad6a04ff6e430180d92b261d7110d3 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15763035,1,15763035.0,15763035.0,15763035,15763035,0.0,PushPop,":batch=1ad0d00be8854f74ae4959038e296173 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15727578,1,15727578.0,15727578.0,15727578,15727578,0.0,PushPop,":batch=7bb2f286c71d46878aae2daf620dd6cf phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,15721852,1,15721852.0,15721852.0,15721852,15721852,0.0,PushPop,":batch=a22406d681dc407883ad6b8d417878e1 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15681731,1,15681731.0,15681731.0,15681731,15681731,0.0,PushPop,:batch=7683f2b1700c4f5f9b437611f4acc21c phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15636419,1,15636419.0,15636419.0,15636419,15636419,0.0,PushPop,":batch=ee3d81100fbe478597025125edaf239e phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15606369,1,15606369.0,15606369.0,15606369,15606369,0.0,PushPop,":batch=d04f3ee1880d4479849d2295e1c62d04 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,15599185,1,15599185.0,15599185.0,15599185,15599185,0.0,PushPop,:batch=3adb60f003f74fb29882f20392be4141 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15577395,1,15577395.0,15577395.0,15577395,15577395,0.0,PushPop,":batch=577452101b6a4d6290b7dd1db7e51fa6 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,15531333,1,15531333.0,15531333.0,15531333,15531333,0.0,PushPop,":batch=ce3cd24e908a419ea2f71420358b7750 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15438982,1,15438982.0,15438982.0,15438982,15438982,0.0,PushPop,:batch=7f38d9ffb7264a62812066f391ca9d9a phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15436640,1,15436640.0,15436640.0,15436640,15436640,0.0,PushPop,":batch=7215fd9b939f499f963263684142b9fc phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15384479,1,15384479.0,15384479.0,15384479,15384479,0.0,PushPop,":batch=95039d8a741f4009b2aa5f6e15d5ea8a phase=decode requests=06908cb4b9a54cb3913b92340a96329a,f8dd7e2b7db74466b3dd25169f9b9af0,6aaa53a6b6a24c078350a21ac7f27af1,248bd58545de491d8813e6a095003668"
0.0,15349028,1,15349028.0,15349028.0,15349028,15349028,0.0,PushPop,:batch=060530131f9248bd8f0ff7156ad22897 phase=decode requests=4476c834d2c74939a2137fc12011cce6
0.0,15331669,1,15331669.0,15331669.0,15331669,15331669,0.0,PushPop,:batch=dc1fe82126e84b2da8d37aac918ccdbd phase=decode requests=c32ea2e6dfe246c7b1d1bcd75bdf1352
0.0,15267063,1,15267063.0,15267063.0,15267063,15267063,0.0,PushPop,":batch=96d61ea510c94c9499670960205d66db phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15227522,1,15227522.0,15227522.0,15227522,15227522,0.0,PushPop,:batch=827deb256dbf417682af12dc5373c0cc phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15212792,1,15212792.0,15212792.0,15212792,15212792,0.0,PushPop,:batch=eaf01533b68c457baea7f6ef307176b1 phase=decode requests=da9f257481364027b9eb07c5291bb1d2
0.0,15205733,1,15205733.0,15205733.0,15205733,15205733,0.0,PushPop,:batch=d4183db03d874e8293704207161cd196 phase=decode requests=4476c834d2c74939a2137fc12011cce6
0.0,15200412,1,15200412.0,15200412.0,15200412,15200412,0.0,PushPop,:batch=03b479df6c82401c9373ba2f94f49b59 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15174244,1,15174244.0,15174244.0,15174244,15174244,0.0,PushPop,":batch=08b56cf1cf614506acd3d120cfe21329 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,15150982,1,15150982.0,15150982.0,15150982,15150982,0.0,PushPop,:batch=2abf027b8fe84332ae77d6f269df57d3 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15143413,1,15143413.0,15143413.0,15143413,15143413,0.0,PushPop,:batch=24a0db436a944d4fa78b8a6c6a6183db phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15134251,1,15134251.0,15134251.0,15134251,15134251,0.0,PushPop,:batch=bb2560356032447cadfcd9a0de431396 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15128717,1,15128717.0,15128717.0,15128717,15128717,0.0,PushPop,":batch=0212b640cec44cc68a35b4b4e7f22ab9 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15120157,1,15120157.0,15120157.0,15120157,15120157,0.0,PushPop,:batch=f8b43379f57d49368d4f4ccce3da8a65 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,15062703,1,15062703.0,15062703.0,15062703,15062703,0.0,PushPop,":batch=42d889fdf29c4b2caec06de1773abdc5 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,15055823,1,15055823.0,15055823.0,15055823,15055823,0.0,PushPop,":batch=3b0e618b33b04ea9b256dfcdd7651bb2 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,15048403,1,15048403.0,15048403.0,15048403,15048403,0.0,PushPop,":batch=4b3472b26104486ea3c878ff87dc1e00 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,15001688,1,15001688.0,15001688.0,15001688,15001688,0.0,PushPop,:batch=36fda49dc142405aa1ea9f77e7583930 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,14984296,1,14984296.0,14984296.0,14984296,14984296,0.0,PushPop,":batch=baa1d960f0794c3da91ed2abbc042ab1 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14970178,1,14970178.0,14970178.0,14970178,14970178,0.0,PushPop,":batch=bf38bb23791649e1a78cd621eaf278a1 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,14933876,1,14933876.0,14933876.0,14933876,14933876,0.0,PushPop,":batch=ddff0ed4ef0d4e7b9b7ead6dd533de31 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,14920237,1,14920237.0,14920237.0,14920237,14920237,0.0,PushPop,":batch=15f0a8c79282419d965b23861b92cbbf phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,14915504,1,14915504.0,14915504.0,14915504,14915504,0.0,PushPop,:batch=052fb522b3e84e6694b80096ba9f7da1 phase=decode requests=c49893a76af642e1a167f5b144aaaf70
0.0,14907062,1,14907062.0,14907062.0,14907062,14907062,0.0,PushPop,":batch=a52bbe6156514180b7dffe8199f7efa2 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,14901865,1,14901865.0,14901865.0,14901865,14901865,0.0,PushPop,":batch=c1f44f6ce03c4d56a22ed246915266bf phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14895239,1,14895239.0,14895239.0,14895239,14895239,0.0,PushPop,":batch=bac9d7fcfed34fe58e99c3a90e0bb87c phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14891977,1,14891977.0,14891977.0,14891977,14891977,0.0,PushPop,":batch=5a677603c1d34268ba3f7a1bcbf852ee phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,14885123,1,14885123.0,14885123.0,14885123,14885123,0.0,PushPop,":batch=fcc4903dde96436a836158566873995b phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,14877777,1,14877777.0,14877777.0,14877777,14877777,0.0,PushPop,":batch=d4b251fc0d5b4cdeaacc3e51fa2aae7a phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14874148,1,14874148.0,14874148.0,14874148,14874148,0.0,PushPop,":batch=310b9ef5c2a345189fe0d30c97540e1e phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14873989,1,14873989.0,14873989.0,14873989,14873989,0.0,PushPop,":batch=7f65bc99b76d46eab3b58fdb4d6414de phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14870918,1,14870918.0,14870918.0,14870918,14870918,0.0,PushPop,":batch=537c73126ecc4c1f9a598157b8a54768 phase=decode requests=27a46174d58b41ae88fc7ab1bc430726,2f6c8d07d5254b3bbd541a92b8991e0c,a6c55e2fb57a42fcad95f0f0ed13fb67,289772dec3794c42ba39f95aab480cf0"
0.0,14863405,1,14863405.0,14863405.0,14863405,14863405,0.0,PushPop,":batch=68df8402961b483987715a8915f993b4 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,14861734,1,14861734.0,14861734.0,14861734,14861734,0.0,PushPop,":batch=4847305bc9924153abb0a6093bd1021e phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,14846788,1,14846788.0,14846788.0,14846788,14846788,0.0,PushPop,":batch=e8222fc231bc46b4af2a3e9daff8c273 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
