Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,35459136,1,35459136.0,35459136.0,35459136,35459136,0.0,PushPop,":batch=ce28632febf04e8dac38ca131d7dc979 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35454545,1,35454545.0,35454545.0,35454545,35454545,0.0,PushPop,":batch=fdbb4de5c8a94b54b96e8e59e369c9ef phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35450238,1,35450238.0,35450238.0,35450238,35450238,0.0,PushPop,":batch=12d0cc36efa640e2a02ea07158db73e6 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,35438173,1,35438173.0,35438173.0,35438173,35438173,0.0,PushPop,":batch=4c4ad27cfe00459a8abe06cc967e4bc1 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35437981,1,35437981.0,35437981.0,35437981,35437981,0.0,PushPop,":batch=5e23d80bc39d4825923130f0bfc96d68 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35424961,1,35424961.0,35424961.0,35424961,35424961,0.0,PushPop,":batch=1f566f2425fc4709afefcbd99f14ea83 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35420144,1,35420144.0,35420144.0,35420144,35420144,0.0,PushPop,":batch=1a5e3a8d961243e18ffb40ea3f0bfdc5 phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35414968,1,35414968.0,35414968.0,35414968,35414968,0.0,PushPop,":batch=380bfbdc00204d88b21524548c77b03c phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35404047,1,35404047.0,35404047.0,35404047,35404047,0.0,PushPop,":batch=ea7465040fc24b55ba6dc1c7fbc4bdd8 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35401639,1,35401639.0,35401639.0,35401639,35401639,0.0,PushPop,":batch=c4018d1ae84d4778b57bce731f251565 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35353403,1,35353403.0,35353403.0,35353403,35353403,0.0,PushPop,":batch=670400991cd74f6ea60fcf4722fc823a phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
